technique,question_id,query,latency_ms,rank,store_score,cosine_sim,chunk_len,preview,source_file,expected_source_file
Token,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",25.91,1,0.7369,0.6826,438,T h e  o n l y  t e a m  m e m b e r ( s )  a  h e a d  c o a c h  m a y  s p e c i f y  b e  o n  h i s / h e r  team  is  his/her  own  child  or  children.  ,soccer_ayso_national_rules.txt,soccer_ayso_national_rules.txt
Token,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",25.91,2,0.7274,0.7187,523,6  5  6U  4‐a‐side  (No goalkeepers)  6  5  AYSO  Schoolyard  Soccer  4‐a‐side  (No goalkeepers)  6  5  AYSO National Rules & Regulations  REGISTRATION      8  ,soccer_ayso_national_rules.txt,soccer_ayso_national_rules.txt
Token,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",25.91,3,0.7245,0.7194,959,Size varies according to age group. The correct weight and pressure can  be determined sufficiently by feel with some practice.     Law 3: The Number Of Players,soccer_ayso_basic_rules.txt,soccer_ayso_national_rules.txt
Token,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",18.24,1,0.7615,0.7526,959,game.     I. Free-throw Bonus   1. Penalty free-throw bonus begins on the seventh team foul (1 and 1) and the double bonus  begins on the tenth team foul (2-sho,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Token,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",18.24,2,0.7316,0.6091,922,are not allowed more than three seconds inside it during play.   Jump Ball:  A method of putting the ball into play at the beginning of the game or overtime by ,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Token,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",18.24,3,0.6007,0.449,1024,"team is ahead by (10) ten points at any time during the game, monitors will continue to  take score in the scorebook but not on the score clock.   4. The scorek",basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Token,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.45,1,0.6764,0.6661,1021,"full quota of 20 overs, each innings will be played for 85 minutes without any drinks break.  7) Innings break will be for 15 minutes as defined in Table 1.0. I",cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
Token,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.45,2,0.6733,0.6991,980,"fairness of the game for both the teams, the Neutral Umpire(s)  designated by the Umpire’s committee or by the league will have the more power than the umpire f",cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
Token,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.45,3,0.668,0.6694,1097,happen;  • The umpires at the scheduled (or agreed upon) close of innings will note down the  number of overs  completed by the team bowling and inform either t,cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
Token,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",15.34,1,0.8049,0.7138,925,use basic formations for offense and defense.         Adult Volleyball Manual        Parks and Recreation 5       Indoor Volleyball Rules    Any rules that are ,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Token,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",15.34,2,0.7727,0.6186,966,get the nets set up.    2.  Coin Toss: Two options are available to the winner of the coin toss.  The winner may serve  or take the choice of court for the star,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Token,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",15.34,3,0.725,0.597,934,"formats.   If matches are running late, the supervisor has the authority to  shorten the length/number of games if needed to complete the matches for that night",volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Token,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",17.63,1,0.7588,0.7631,918,"limited for the following per sport:   Flag Football – Minimum 6, Maximum 15   Soccer – Minimum 9, Maximum 20   Softball – Minimum 10, Maximum 20   Volleyba",general_douglas_county_all_sports_rules.txt,general_douglas_county_all_sports_rules.txt
Token,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",17.63,2,0.7223,0.7034,1100,"friendly rivalry, wholesome recreation, and clean sportsmanship.         Adult Volleyball Manual        Parks and Recreation 3       Functions of Parks and Recr",volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
Token,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",17.63,3,0.6863,0.6636,485,4      League Classifications.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .   4       Indoor  Volleyball Rules.  .  .  .  .  .  .  .  .  . ,volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
Semantic,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",14.05,1,0.7223,0.7193,2624,The correct weight and pressure can  be determined sufficiently by feel with some practice.     Law 3: The Number Of Players      10 AYSO Basic Soccer Rules – 2,soccer_ayso_basic_rules.txt,soccer_ayso_national_rules.txt
Semantic,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",14.05,2,0.672,0.6701,3960,      AYSO Basic Soccer Rules – 2009-2010 Edition 1          AYSO  Basic Soccer Rules    For New AYSO Parents and Volunteers         2 AYSO Basic Soccer Rules –,soccer_ayso_basic_rules.txt,soccer_ayso_national_rules.txt
Semantic,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",14.05,3,0.6486,0.6307,1677,"Additionally, another player  on the field may change places with the goalkeeper during a normal stoppage in  play, provided that the referee is first informed.",soccer_ayso_basic_rules.txt,soccer_ayso_national_rules.txt
Semantic,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",17.68,1,0.6443,0.5093,6177,The scorekeepers will inform the officials to insure that the mercy rule is enforced.   H. Coaching Box Rule   The NFHS has authorized the use of a 14 –foot coa,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Semantic,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",17.68,2,0.5388,0.5439,6413,     CITY OF LAS VEGAS                     YOUTH  RECREATION    BASKETBALL  RULES & REGULATIONS     1              SECTION 1: GENERAL LEAGUE INFORMATION .......,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Semantic,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",17.68,3,0.5157,0.3708,1021,"D. Length of Playing Quarters: Playing Time   1. Game possession is decided by a coin toss for 6U only.   2. To start the game, jump ball will determine possess",basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
Semantic,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.4,1,0.5824,0.5686,487,The Captain of the batting team may not declare his innings  closed at any time during the course of the match.    18 Forfeiture    The following situations can,cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
Semantic,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.4,2,0.5559,0.5428,12544,"The umpire(s) will decide on the scenario as they feel  appropriate.    Team Batting First = Team A  Team Bowling First = Team B    5.3.1 First Session, Bowling",cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
